"OrderColecta"	"NSiembra"	"Origen"	"Raza"	"Estado"	"Num_Colecta"	"Nombre_comun"	"Raza_Primaria"	"Raza_Secundaria"	"Año._de_colecta"	"Localidad"	"Municipio"	"Estado.1"	"Longitud"	"Latitud"	"Altitud"	"Ruizetal2008_grupo"	"Sanchezetal_grupo"	"Categ.Altitud"	"Rbiogeo"	"DivFloristic"	"PeralesBiog"	"pca$eigenvect[, 1]"	"pca$eigenvect[, 2]"	"ColorByRaza"	"ColorByLong"	"ColorByLat"	"ColorByAlt"	"ColorByGpEc"	"ColorByTax"	"ColorByCategAlt"	"ColorByBiogeo"	"ColorByDivFloristic"	"ColorByPeralesBiog"
1	129	"NL-17"	"Tuxpeño"	"Nuevo León"	"NL-2008-017"	"Mezcla Regional"	"Tuxpeño"	NA	2008	"Las Crucitas"	"Linares"	"Nuevo León"	-99.72272222	24.75586111	557	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Tamaulipeca"	"Planicie Costera del Noreste"	"Mesa del No"	0.10946571155289	0.0487080711273168	"#FF00C8FF"	"#F3FFFFFF"	"#FFB6FFFF"	"#ECB280FF"	"red"	"springgreen4"	"#00FF00FF"	"#B700A2"	"#865700"	"#865700"
2	116	"INIFAP-2009-131"	"Tablilla de Ocho"	"Chihuahua"	"131"	"Ocho carreras"	"Tablilla de Ocho"	NA	2009	"La Concepción"	"Gran Morelos"	"Chihuahua"	-106.6324722	28.32019444	1791	"2B_semicalido450-620mm"	"Ocho Hileras"	"mid"	"Altiplano Norte (Chihuahuense)"	"Sierra Madre Occidental"	"Mesa del No"	-0.00323881994512057	-0.138160917291395	"#9000FFFF"	"#A9FFFFFF"	"#FF9DFFFF"	"#D1E100FF"	"khaki"	"mediumblue"	"#0000FFFF"	"#FF0000FF"	"gold"	"#865700"
2	142	"Chis-2009-35"	"Zapalote Chico"	"Chiapas"	"35"	"Maíz conejito"	"Zapalote Chico"	NA	2009	"Ejido El Parral"	"Villacorzo"	"Chiapas"	-93.00194444	16.36402778	654	"3A_muycalido990-1360mm"	"Tropicales precoces"	"low"	"Costa del Pacifico"	"Costa Pacifica"	"Chiapas"	0.0783339147605524	-0.00641162055708305	"#FF0043FF"	"#FFA4FFFF"	"#A2FFFFFF"	"#EBB165FF"	"red"	"red2"	"#00FF00FF"	"#00FF66FF"	"#0000FFFF"	"#0000FFFF"
1	110	"2008-19"	"Onaveño"	"Sonora"	"SON2007-058"	"Maíz Blanco"	"Onaveño"	NA	2008	"Moctezuma"	"Moctezuma"	"Sonora"	-109.68	29.80894444	626	"2A_semicalido500-870mm"	"Ocho Hileras"	"low"	"Sonorense"	"Altiplanicie"	"Sierras del"	0.0901337179616033	0.00250299225907052	"#0037FFFF"	"#85FFFFFF"	"#FF83FFFF"	"#EBB168FF"	"gold"	"mediumblue"	"#00FF00FF"	"#8330CB"	"#FF0000FF"	"gold"
1	132	"2009-2"	"Tuxpeño"	"Chiapas"	"2"	"Criollo amarillo"	"Tuxpeño"	NA	2009	"Ejido La Concordia"	"La Concordia"	"Chiapas"	-92.68894972	16.1194325	552	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Costa del Pacifico"	"Serranias Transismicas"	"Chiapas"	0.110924711977195	0.0615032474701008	"#FF00C8FF"	"#FF9BFFFF"	"#91FFFFFF"	"#EDB284FF"	"red"	"springgreen4"	"#00FF00FF"	"#00FF66FF"	"#B8095F"	"#0000FFFF"
1	118	"2006-10"	"Tabloncillo"	"Sinaloa"	"SIN-2006-010"	"Blanco Bola"	"Tabloncillo"	NA	2006	"Boca de Arroyo"	"Badiraguato"	"Sinaloa"	-107.5618889	25.40125	226	"2C_semicalido740-855mm"	"Ocho Hileras"	"low"	"Costa del Pacifico"	"Costa Pacifica"	"Sierras del"	0.0625411547075184	-0.0498220512807148	"#B100FFFF"	"#A2FFFFFF"	"#FFB2FFFF"	"#EFC0AEFF"	"yellow3"	"mediumblue"	"#00FF00FF"	"#00FF66FF"	"#0000FFFF"	"gold"
1	144	"2009-35"	"Zapalote Grande"	"Chiapas"	"35"	"Maíz conejito"	"Zapalote Grande"	NA	2009	"Ejido El Parral"	"Villacorzo"	"Chiapas"	-93.00194444	16.36402778	654	"3A_muycalido990-1360mm"	"Dentados tropicales"	"low"	"Costa del Pacifico"	"Costa Pacifica"	"Chiapas"	0.0780780608071553	-0.0215712854313508	"#FF0021FF"	"#FFA4FFFF"	"#A2FFFFFF"	"#EBB165FF"	"red"	"springgreen4"	"#00FF00FF"	"#00FF66FF"	"#0000FFFF"	"#0000FFFF"
1	133	"2009-6"	"Tuxpeño Norteño"	"Estado de México"	"2009-006"	"Criollo de la Región"	"Tuxpeño Norteño"	NA	2009	"La Cofradía"	"Amatepec"	"Estado de México"	-100.2275	18.66027778	1390	"2B_semicalido450-620mm"	"Dentados tropicales"	"mid"	"Depresion del Balsas"	"Depresion del Balsas"	"Cordillera"	0.0941773075983185	0.0377265312194143	"#FF00A6FF"	"#DEFFFFFF"	"#BDFFFFFF"	"#E8C132FF"	"khaki"	"springgreen4"	"#0000FFFF"	"#0066FFFF"	"#FF00FFFF"	"blue4"
1	121	"2007-22"	"Tabloncillo"	"Sonora"	"SON2007-022"	"Pinto Amarillo"	"Tabloncillo"	NA	2007	"Los Vallecitos"	"Yécora"	"Sonora"	-108.9255278	28.41063889	1570	"2C_semicalido740-855mm"	"Ocho Hileras"	"mid"	"Sierra Madre Occidental"	"Sierra Madre Occidental"	"Sierras del"	0.0113453463491837	-0.16361514860246	"#B100FFFF"	"#8DFFFFFF"	"#FF9BFFFF"	"#E6DA0DFF"	"yellow3"	"mediumblue"	"#0000FFFF"	"#007F57"	"gold"	"gold"
1	111	"TMS-35"	"Ratón"	"Tamaulipas"	"TMS-35"	"Olote delgadito"	"Ratón"	NA	2007	"Oyama"	"Hidalgo"	"Tamaulipas"	-99.25505556	24.12780556	231	"2A_semicalido500-870mm"	"Tropicales precoces"	"low"	"Golfo de Mexico"	"Planicie Costera del Noreste"	"Mesa del No"	0.106248642659282	0.0425274162684788	"#4E00FFFF"	"#FFFDFFFF"	"#FFB9FFFF"	"#EFBEAAFF"	"gold"	"red2"	"#00FF00FF"	"#CC00FFFF"	"#865700"	"#865700"
